Player,Age,Ast,xAG,xG,Gls,MP,Min,Nation,PK,Pos,CrdR,Starts,Team,CrdY
Matthijs de Ligt,26-152,0,0.6,1.5,1,13,1170,nl NED,0,DF,0,13,Manchester-United,0
Patrick Dorgu,21-077,3,2.5,1.2,1,20,1165,dk DEN,0,"DF,FW",0,12,Manchester-United,5
Leny Yoro,20-059,0,0,0.7,0,21,1141,fr FRA,0,DF,0,12,Manchester-United,0
Benjamin Šeško,22-225,1,0.4,5,4,17,1044,si SVN,0,FW,0,11,Manchester-United,1
Mason Mount,27-001,0,1.1,1.5,3,16,815,eng ENG,0,MF,0,10,Manchester-United,0
Ayden Heaven,19-111,1,0.4,0.3,0,10,637,eng ENG,0,DF,0,8,Manchester-United,1
Manuel Ugarte,24-275,0,0.2,0.3,0,15,727,uy URU,0,MF,0,7,Manchester-United,1
Altay Bayındır,27-272,0,0.2,0,0,6,540,tr TUR,0,GK,0,6,Manchester-United,0
Noussair Mazraoui,28-058,0,0.1,0,0,9,442,ma MAR,0,DF,0,6,Manchester-United,1
Joshua Zirkzee,24-234,1,0.9,1.9,2,14,490,nl NED,0,"FW,MF",0,4,Manchester-United,1
Lisandro Martínez,27-358,0,0.6,0.1,0,9,458,ar ARG,0,DF,0,4,Manchester-United,0
Harry Maguire,32-312,1,0.4,0.3,1,8,345,eng ENG,0,DF,0,4,Manchester-United,0
Kobbie Mainoo,20-267,0,0.3,0.1,0,12,238,eng ENG,0,MF,0,0,Manchester-United,0
Jack Fletcher,18-298,0,0.1,0,0,3,108,eng ENG,0,"MF,FW",0,0,Manchester-United,0
Bendito Mantato,17-351,0,0.1,0,0,1,16,eng ENG,0,FW,0,0,Manchester-United,0
Shea Lacey,18-272,0,0,0.1,0,2,14,eng ENG,0,"FW,DF",0,0,Manchester-United,0
Tyler Fredricson,20-322,0,0,0,0,1,3,eng ENG,0,DF,0,0,Manchester-United,0
Tyrell Malacia,26-147,0,0,0,0,1,3,nl NED,0,DF,0,0,Manchester-United,0
Tyler Fletcher,18-298,,,,,0,,sct SCO,,MF,,0,Manchester-United,
Tom Heaton,39-271,,,,,0,,eng ENG,,GK,,0,Manchester-United,
Godwill Kukonki,17-339,,,,,0,,eng ENG,,DF,,0,Manchester-United,
Diego León,18-283,,,,,0,,py PAR,,DF,,0,Manchester-United,
Chidozie Obi-Martin,18-043,,,,,0,,dk DEN,,FW,,0,Manchester-United,
André Onana,29-284,,,,,0,,cm CMR,,GK,,0,Manchester-United,
Bruno Guimarães,28-056,3,2.3,3.9,8,20,1748,br BRA,1,MF,0,19,Newcastle-United,4
Sandro Tonali,25-248,1,1.9,0.7,0,21,1428,it ITA,0,MF,0,18,Newcastle-United,2
Malick Thiaw,24-156,0,0.3,1.8,3,18,1488,de GER,0,DF,0,17,Newcastle-United,3
Nick Woltemade,23-331,2,1.2,6.1,7,18,1259,de GER,1,FW,0,16,Newcastle-United,0
Nick Pope,33-267,0,0,0,0,15,1336,eng ENG,0,GK,0,15,Newcastle-United,1
Dan Burn,33-247,2,0.3,0.1,0,15,1255,eng ENG,0,DF,1,15,Newcastle-United,5
Joelinton,29-150,0,1.4,1.3,2,17,1226,br BRA,0,MF,0,15,Newcastle-United,5
Anthony Gordon,24-321,1,2.8,4.3,2,16,998,eng ENG,2,FW,1,14,Newcastle-United,2
Jacob Murphy,30-321,1,3.5,2.8,2,18,1010,eng ENG,0,FW,0,12,Newcastle-United,0
Fabian Schär,34-022,0,0.2,1,0,16,1091,ch SUI,0,DF,0,11,Newcastle-United,1
Valentino Livramento,23-060,1,0.4,0.1,0,13,1049,eng ENG,0,DF,0,11,Newcastle-United,1
Lewis Miley,19-255,3,1.1,1.2,1,17,1022,eng ENG,0,"MF,DF",0,10,Newcastle-United,0
Lewis Hall,21-125,1,1.2,0.5,0,14,944,eng ENG,0,DF,0,10,Newcastle-United,1
Harvey Barnes,28-033,0,1.4,4.5,5,20,951,eng ENG,0,FW,0,9,Newcastle-United,0
Sven Botman,25-364,1,0.6,0.3,0,11,701,nl NED,0,DF,0,8,Newcastle-United,0
Kieran Trippier,35-114,0,0.8,0,0,9,699,eng ENG,0,DF,0,8,Newcastle-United,1
Anthony Elanga,23-259,1,1.1,1.1,0,17,684,se SWE,0,"FW,MF",0,7,Newcastle-United,0
Aaron Ramsdale,27-242,0,0.1,0,0,7,554,eng ENG,0,GK,0,6,Newcastle-United,0
Jacob Ramsey,24-228,0,0.7,0.3,0,12,511,eng ENG,0,MF,0,4,Newcastle-United,2
Yoane Wissa,29-130,0,0.2,1.5,1,7,246,cd COD,0,FW,0,2,Newcastle-United,1
Joe Willock,26-144,0,0.3,0.6,0,11,241,eng ENG,0,"MF,FW",0,2,Newcastle-United,1
William Osula,22-160,0,0.1,0.6,1,10,219,dk DEN,0,FW,0,1,Newcastle-United,0
Emil Krafth,31-162,0,0,0,0,1,45,se SWE,0,DF,0,1,Newcastle-United,0
Jamaal Lascelles,32-061,0,0,0,0,2,21,eng ENG,0,DF,0,0,Newcastle-United,0
Adedamola Alabi,16-186,,,,,0,,eng ENG,,MF,,0,Newcastle-United,
Alex Murphy,21-200,,,,,0,,ie IRL,,DF,,0,Newcastle-United,
Sean Neave,18-229,,,,,0,,eng ENG,,FW,,0,Newcastle-United,
John Ruddy,39-079,,,,,0,,eng ENG,,GK,,0,Newcastle-United,
Park Seungsoo,18-300,,,,,0,,kr KOR,,MF,,0,Newcastle-United,
Leo Shahar,18-299,,,,,0,,eng ENG,,DF,,0,Newcastle-United,
Elliot Anderson,23-066,2,2.2,1.8,1,21,1890,eng ENG,1,MF,0,21,Nottingham-Forest,4
Nikola Milenković,28-091,0,0.3,0.8,0,21,1890,rs SRB,0,DF,0,21,Nottingham-Forest,4
Neco Williams,24-273,1,2.1,1.2,1,21,1890,wls WAL,0,DF,0,21,Nottingham-Forest,4
Morgan Gibbs-White,25-349,1,1.2,5.9,5,21,1781,eng ENG,1,"MF,FW",0,20,Nottingham-Forest,0
Matz Sels,33-319,0,0.1,0,0,17,1453,be BEL,0,GK,0,16,Nottingham-Forest,1
Murillo,23-191,0,0.2,0.5,1,15,1279,br BRA,0,DF,0,15,Nottingham-Forest,3
Dan Ndoye,25-078,1,1,0.8,1,15,996,ch SUI,0,FW,0,14,Nottingham-Forest,1
Igor Jesus,24-320,1,1.2,3.4,1,20,1148,br BRA,0,FW,0,13,Nottingham-Forest,0
Callum Hudson-Odoi,25-065,1,2.2,1.8,3,19,1120,eng ENG,0,FW,0,11,Nottingham-Forest,0
Nicolò Savona,22-298,0,0.4,1.3,2,14,1028,it ITA,0,DF,0,11,Nottingham-Forest,2
Ibrahim Sangaré,28-040,2,0.9,0.7,2,13,865,ci CIV,0,MF,0,11,Nottingham-Forest,2
Omari Hutchinson,22-073,2,2.3,1.6,1,16,884,eng ENG,0,FW,0,8,Nottingham-Forest,0
Morato,24-195,0,0,0,0,10,710,br BRA,0,DF,0,8,Nottingham-Forest,4
Nicolás Domínguez,27-197,0,0.4,0.7,1,12,568,ar ARG,0,"MF,FW",0,8,Nottingham-Forest,2
Chris Wood,34-035,0,0.2,2.7,2,8,540,nz NZL,0,FW,0,7,Nottingham-Forest,0
John,29-332,0,0,0,0,5,437,br BRA,0,GK,0,5,Nottingham-Forest,1
Ola Aina,29-095,0,0.2,0.1,0,5,428,ng NGA,0,DF,0,5,Nottingham-Forest,1
Douglas Luiz,27-247,0,0.7,0.1,0,8,315,br BRA,0,MF,0,5,Nottingham-Forest,2
Oleksandr Zinchenko,29-027,0,0.5,0.1,0,5,353,ua UKR,0,DF,0,4,Nottingham-Forest,0
Dilane Bakwa,23-138,1,0.9,0.4,0,8,303,fr FRA,0,FW,0,3,Nottingham-Forest,1
Ryan Yates,28-051,1,0.1,0,0,11,307,eng ENG,0,MF,0,1,Nottingham-Forest,1
Taiwo Awoniyi,28-152,0,0.4,0.5,0,7,187,ng NGA,0,FW,0,1,Nottingham-Forest,0
James Mcatee,23-085,0,0.4,0,0,7,175,eng ENG,0,"MF,FW",0,1,Nottingham-Forest,1
Jair Cunha,20-310,0,0,0,0,1,90,br BRA,0,DF,0,1,Nottingham-Forest,0
Arnaud Kalimuendo,23-356,0,0,0.4,0,9,96,fr FRA,0,FW,0,0,Nottingham-Forest,0
Zach Abbott,19-243,0,0,0,0,1,45,eng ENG,0,DF,0,0,Nottingham-Forest,0
Jota Silva,26-163,0,0,0,0,1,12,pt POR,0,FW,0,0,Nottingham-Forest,0
Willy Boly,34-342,,,,,0,,ci CIV,,DF,,0,Nottingham-Forest,
Angus Gunn,29-354,,,,,0,,sct SCO,,GK,,0,Nottingham-Forest,
Robin Roefs,22-359,0,0.4,0,0,21,1890,nl NED,0,GK,0,21,Sunderland,2
Granit Xhaka,33-106,5,2,0.6,1,21,1872,ch SUI,0,MF,0,21,Sunderland,4
Trai Hume,23-299,1,1,0.7,0,21,1743,nir NIR,0,"DF,MF",0,19,Sunderland,5
Nordi Mukiele,28-071,1,1.1,0.7,1,19,1710,fr FRA,0,DF,0,19,Sunderland,3
Enzo Le Fée,25-342,4,2.6,3.2,2,20,1575,fr FRA,2,"MF,FW",0,18,Sunderland,5
Omar Alderete,29-016,1,0.1,1.2,1,17,1470,py PAR,0,DF,0,16,Sunderland,3
Noah Sadiki,21-025,0,0.4,0.3,0,16,1412,cd COD,0,MF,0,16,Sunderland,4
Daniel Ballard,26-111,0,0.7,1.4,2,17,1225,nir NIR,0,DF,0,13,Sunderland,2
Reinildo Mandava,31-355,0,0,0.1,0,12,1022,mz MOZ,0,DF,1,12,Sunderland,4
Wilson Isidor,25-137,0,0,3.4,4,19,977,fr FRA,0,FW,0,11,Sunderland,1
Lutsharel Geertruida,25-177,0,0.2,0.7,0,17,978,nl NED,0,"DF,MF",0,10,Sunderland,0
Chemsdine Talbi,20-247,1,0.3,1.2,2,16,886,ma MAR,0,"FW,MF",0,9,Sunderland,0
Simon Adingra,24-010,0,0.9,0.3,1,14,653,ci CIV,0,"FW,MF",0,9,Sunderland,2
Bertrand Traoré,30-127,0,0.9,0.6,1,10,608,bf BFA,0,"FW,MF",0,9,Sunderland,1
Brian Brobbey,23-344,1,0.2,1.9,3,16,707,nl NED,0,FW,0,7,Sunderland,1
Chris Rigg,18-207,0,0.3,0.3,0,10,377,eng ENG,0,"FW,MF",0,6,Sunderland,0
Eliezer Mayenda,20-248,0,0.5,0.9,1,12,498,es ESP,0,FW,0,5,Sunderland,0
Habib Diarra,22-008,0,0,0.6,0,5,372,sn SEN,0,MF,0,4,Sunderland,1
Dennis Cirkin,23-280,0,0,0,0,4,250,eng ENG,0,DF,0,3,Sunderland,1
Arthur Masuaku,32-065,0,0.1,0.1,0,3,126,cd COD,0,"DF,MF",0,2,Sunderland,1
Jenson Seelt,22-233,0,0,0,0,2,134,nl NED,0,DF,0,1,Sunderland,0
Romaine Mundle,22-262,0,0,0.4,0,8,178,eng ENG,0,"FW,MF",0,0,Sunderland,1
Patrick Roberts,28-340,0,0,0,0,1,28,eng ENG,0,"MF,FW",0,0,Sunderland,0
Dan Neil,24-029,0,0,0,0,3,14,eng ENG,0,MF,0,0,Sunderland,0
Luke O'Nien,31-051,0,0,0,0,3,11,eng ENG,0,"DF,MF",1,0,Sunderland,0
Leo Fuhr Hjelde,22-138,,,,,0,,no NOR,,DF,,0,Sunderland,
Harrison Jones,21-017,,,,,0,,eng ENG,,MF,,0,Sunderland,
Jenson Jones,25-073,,,,,0,,eng ENG,,DF,,0,Sunderland,
Anthony Patterson,25-246,,,,,0,,eng ENG,,GK,,0,Sunderland,
Timur Tuterov,20-214,,,,,0,,ua UKR,,FW,,0,Sunderland,
Guglielmo Vicario,29-096,0,0,0,0,21,1890,it ITA,0,GK,0,21,Tottenham-Hotspur,1
Micky van de Ven,24-267,1,0.6,2.1,3,20,1789,nl NED,0,DF,0,20,Tottenham-Hotspur,5
Pedro Porro,26-120,1,1.8,0.4,0,21,1688,es ESP,0,DF,0,19,Tottenham-Hotspur,5
Mohammed Kudus,25-162,5,2.8,1.9,2,19,1535,gh GHA,0,"FW,MF",0,19,Tottenham-Hotspur,3
Rodrigo Bentancur,28-200,1,0.8,0.5,1,20,1410,uy URU,0,MF,0,17,Tottenham-Hotspur,5
Cristian Romero,27-259,1,1.1,1,2,17,1457,ar ARG,0,DF,1,16,Tottenham-Hotspur,9
Djed Spence,25-155,0,0.7,0.6,0,18,1346,eng ENG,0,DF,0,16,Tottenham-Hotspur,2
João Palhinha,30-186,2,0.3,1,3,20,1304,pt POR,0,MF,0,14,Tottenham-Hotspur,5
Richarlison,28-246,3,2.1,4.7,7,21,1283,br BRA,0,FW,0,13,Tottenham-Hotspur,4
Xavi Simons,22-265,3,1.6,0.9,1,15,924,nl NED,0,"MF,FW",1,10,Tottenham-Hotspur,2
Randal Kolo Muani,27-037,0,0.8,1.3,0,14,836,fr FRA,0,FW,0,10,Tottenham-Hotspur,2
Lucas Bergvall,19-343,2,0.3,0.9,1,16,804,se SWE,0,"MF,FW",0,10,Tottenham-Hotspur,2
Archie Gray,19-305,0,0.1,0.7,1,11,603,eng ENG,0,MF,0,8,Tottenham-Hotspur,3
Pape Matar Sarr,23-119,2,0.7,1,2,14,709,sn SEN,0,MF,0,7,Tottenham-Hotspur,0
Kevin Danso,27-114,0,0,0,0,12,585,at AUT,0,DF,0,7,Tottenham-Hotspur,4
Wilson Odobert,21-044,1,1.3,1,0,19,718,fr FRA,0,"FW,MF",0,6,Tottenham-Hotspur,0
Destiny Udogie,23-044,1,0.4,0.1,0,10,609,it ITA,0,DF,0,6,Tottenham-Hotspur,1
Mathys Tel,20-259,0,0.1,0.6,3,14,470,fr FRA,0,FW,0,5,Tottenham-Hotspur,0
Ben Davies,32-262,0,0.1,0.5,1,2,119,wls WAL,0,DF,0,1,Tottenham-Hotspur,0
Dominic Solanke,28-119,0,0,0.2,0,2,33,eng ENG,0,FW,0,0,Tottenham-Hotspur,0
Radu Drăgușin,23-342,0,0,0.1,0,1,6,ro ROU,0,DF,0,0,Tottenham-Hotspur,0
Dane Scarlett,21-293,0,0,0,0,1,3,eng ENG,0,FW,0,0,Tottenham-Hotspur,0
Yusuf Akhamrich,20-128,,,,,0,,eng ENG,,FW,,0,Tottenham-Hotspur,
Brandon Austin,27-003,,,,,0,,eng ENG,,GK,,0,Tottenham-Hotspur,
Jun'ai Byfield,17-036,,,,,0,,eng ENG,,DF,,0,Tottenham-Hotspur,
Antonín Kinský,22-304,,,,,0,,cz CZE,,GK,,0,Tottenham-Hotspur,
Callum Olusesi,18-359,,,,,0,,eng ENG,,MF,,0,Tottenham-Hotspur,
James Rowswell,19-182,,,,,0,,eng ENG,,DF,,0,Tottenham-Hotspur,
Manor Solomon,26-171,,,,,0,,il ISR,,"FW,MF",,0,Tottenham-Hotspur,
Kōta Takai,21-129,,,,,0,,jp JPN,,DF,,0,Tottenham-Hotspur,
Luka Vušković,18-321,,,,,0,,hr CRO,,DF,,0,Tottenham-Hotspur,
Luca Williams Barnett,17-102,,,,,0,,eng ENG,,FW,,0,Tottenham-Hotspur,
Jarrod Bowen,29-022,1,2,4.7,6,21,1890,eng ENG,0,"FW,MF",0,21,West-Ham-United,2
Lucas Paquetá,28-137,1,2.3,2.8,4,18,1511,br BRA,2,"MF,FW",1,18,West-Ham-United,7
Mateus Fernandes,21-185,1,1.3,1,2,19,1494,pt POR,0,"MF,FW",0,18,West-Ham-United,2
Max Kilman,28-233,0,0.3,0.6,0,18,1534,eng ENG,0,DF,0,17,West-Ham-United,4
Alphonse Areola,32-318,1,0,0,0,17,1530,fr FRA,0,GK,0,17,West-Ham-United,0
El Hadji Malick Diouf,21-014,3,0.8,0.4,0,16,1387,sn SEN,0,DF,0,15,West-Ham-United,3
Jean-Clair Todibo,26-012,1,0.3,0,0,15,1250,fr FRA,0,DF,0,15,West-Ham-United,4
Crysencio Summerville,24-073,1,0.5,2,0,16,1139,nl NED,0,"FW,MF",0,14,West-Ham-United,3
Konstantinos Mavropanos,28-031,0,0,0.7,0,14,1093,gr GRE,0,DF,0,11,West-Ham-United,2
Aaron Wan-Bissaka,28-046,0,0.6,0,0,12,1011,cd COD,0,DF,0,11,West-Ham-United,2
Freddie Potts,22-121,1,1.1,0.2,0,16,972,eng ENG,0,MF,0,10,West-Ham-United,1
Kyle Walker-Peters,28-273,0,0.2,1.2,1,16,957,eng ENG,0,DF,0,10,West-Ham-United,2
Soungoutou Magassa,22-095,0,0.3,0.3,1,14,737,fr FRA,0,MF,0,9,West-Ham-United,2
Callum Wilson,33-318,1,0.2,3.6,4,17,811,eng ENG,0,FW,0,8,West-Ham-United,0
Tomáš Souček,30-318,0,0.1,2.5,2,18,726,cz CZE,0,"MF,FW",1,7,West-Ham-United,0
Oliver Scarles,20-030,0,0.3,0.2,0,7,464,eng ENG,0,DF,0,7,West-Ham-United,0
James Ward-Prowse,31-071,0,0.9,0.1,0,5,413,eng ENG,0,MF,0,5,West-Ham-United,0
Niclas Füllkrug,32-336,0,0.7,0.9,0,8,409,de GER,0,FW,0,5,West-Ham-United,0
Mads Hermansen,25-184,0,0,0,0,4,360,dk DEN,0,GK,0,4,West-Ham-United,0
Nayef Aguerd,29-287,0,0,0.1,0,2,180,ma MAR,0,DF,0,2,West-Ham-United,0
Guido Rodríguez,31-274,0,0,0,0,5,168,ar ARG,0,MF,0,2,West-Ham-United,1
Andy Irving,25-243,0,0.3,0,0,7,158,sct SCO,0,MF,0,2,West-Ham-United,0
Luis Guilherme,19-336,0,0,0.1,0,5,125,br BRA,0,"FW,MF",0,1,West-Ham-United,0
Igor,27-338,0,0,0,0,4,105,br BRA,0,DF,0,1,West-Ham-United,0
Valentín Castellanos,27-100,0,0.1,0.4,0,1,90,ar ARG,0,FW,0,1,West-Ham-United,0
Ezra Mayers,18-360,0,0.2,0.1,0,5,116,bb BRB,0,DF,0,0,West-Ham-United,0
Callum Marshall,21-044,0,0,0.1,0,2,60,nir NIR,0,FW,0,0,West-Ham-United,0
Pablo,22-009,0,0,0,0,1,28,br BRA,0,MF,0,0,West-Ham-United,0
Mohamadou Kanté,20-113,0,0.1,0,0,3,19,fr FRA,0,"FW,MF",0,0,West-Ham-United,0
George Earthy,21-128,0,0,0,0,1,9,eng ENG,0,FW,0,0,West-Ham-United,0
Edson Álvarez,28-079,,,,,0,,mx MEX,,"DF,MF",,0,West-Ham-United,
Łukasz Fabiański,40-268,,,,,0,,pl POL,,GK,,0,West-Ham-United,
Airidas Golambeckis,18-068,,,,,0,,eng ENG,,DF,,0,West-Ham-United,
João Gomes,24-333,0,0.5,0.6,0,20,1594,br BRA,0,MF,0,18,Wolverhampton-Wanderers,6
Ladislav Krejčí,26-266,1,0.8,2,2,16,1389,cz CZE,0,"DF,MF",0,16,Wolverhampton-Wanderers,2
André,24-179,0,0.5,0.2,0,20,1425,br BRA,0,MF,0,15,Wolverhampton-Wanderers,5
Jørgen Strand Larsen,25-339,1,0.6,2.8,1,19,1313,no NOR,1,FW,0,14,Wolverhampton-Wanderers,2
Jhon Arias,28-112,0,0.6,3.3,1,20,1048,co COL,0,"FW,MF",0,13,Wolverhampton-Wanderers,1
Hugo Bueno,23-115,1,1.3,0.4,0,18,1163,es ESP,0,"DF,MF",0,12,Wolverhampton-Wanderers,1
Sam Johnstone,32-292,0,0,0,0,12,1080,eng ENG,0,GK,0,12,Wolverhampton-Wanderers,0
Toti Gomes,26-360,0,0.2,0,0,13,949,pt POR,0,DF,1,12,Wolverhampton-Wanderers,2
Santiago Bueno,27-063,0,0.1,1.6,2,12,1025,uy URU,0,DF,0,11,Wolverhampton-Wanderers,2
Emmanuel Agbadou,28-208,0,0.2,0.5,0,13,1011,ci CIV,0,DF,1,11,Wolverhampton-Wanderers,1
Hwang Hee-chan,29-350,1,0.8,2.1,2,16,882,kr KOR,1,"FW,MF",0,11,Wolverhampton-Wanderers,3
Jackson Tchatchoua,24-119,0,1.3,0.3,0,20,1110,cm CMR,0,"DF,MF",0,10,Wolverhampton-Wanderers,2
Yerson Mosquera,24-254,0,0.3,0.7,0,12,866,co COL,0,DF,0,10,Wolverhampton-Wanderers,6
Marshall Munetsi,29-203,1,0.5,1.6,1,13,875,zw ZIM,0,"MF,FW",0,9,Wolverhampton-Wanderers,2
José Sá,32-359,0,0.1,0,0,9,810,pt POR,0,GK,0,9,Wolverhampton-Wanderers,1
Jean-Ricner Bellegarde,27-198,0,0.4,0.8,1,14,689,ht HAI,0,"MF,FW",0,9,Wolverhampton-Wanderers,1
David Møller Wolfe,23-263,2,1.6,0.1,0,14,707,no NOR,0,"DF,MF",0,8,Wolverhampton-Wanderers,1
Matt Doherty,33-360,0,0.4,0.1,0,8,598,ie IRL,0,DF,0,8,Wolverhampton-Wanderers,4
Tolu Arokodare,25-049,0,0.6,1.5,1,17,673,ng NGA,0,FW,0,7,Wolverhampton-Wanderers,1
Ki-Jana Hoever,23-358,0,0.5,0,0,8,425,nl NED,0,"DF,MF",0,6,Wolverhampton-Wanderers,0
Mateus Mane,18-117,1,0.2,0.6,2,10,452,pt POR,0,MF,0,4,Wolverhampton-Wanderers,0
Rodrigo Gomes,22-188,0,0.1,1,1,6,331,pt POR,0,"FW,DF",0,4,Wolverhampton-Wanderers,0
Fer López,21-232,1,0.7,0.2,0,9,235,es ESP,0,"MF,FW",0,2,Wolverhampton-Wanderers,1
Tawanda Chirewa,22-092,0,0,0,0,2,27,zw ZIM,0,"MF,FW",0,0,Wolverhampton-Wanderers,0
Sasa Kalajdzic,28-188,0,0,0,0,1,15,at AUT,0,FW,0,0,Wolverhampton-Wanderers,0
Pedro Lima,19-194,0,0,0,0,1,1,br BRA,0,MF,0,0,Wolverhampton-Wanderers,0
Daniel Bentley,32-182,,,,,0,,eng ENG,,GK,,0,Wolverhampton-Wanderers,
Enso Gonzalez,20-356,,,,,0,,py PAR,,FW,,0,Wolverhampton-Wanderers,
Temple Ojinnaka,20-287,,,,,0,,it ITA,,MF,,0,Wolverhampton-Wanderers,
Saheed Olagunju,19-004,,,,,0,,ng NGA,,DF,,0,Wolverhampton-Wanderers,
Alfie Pond,21-316,,,,,0,,eng ENG,,DF,,0,Wolverhampton-Wanderers,
Luke Rawlings,17-282,,,,,0,,eng ENG,,MF,,0,Wolverhampton-Wanderers,
Ethan Sutherland,19-261,,,,,0,,sct SCO,,FW,,0,Wolverhampton-Wanderers,
